Problem,Problem Description,Problem Type,Data Structure Recommendation,Algorithm Recommendation
Hattori and competition,"In the ninja competition, each ninja aims to reach the endpoint with the minimum number of moves. Hattori, our favorite ninja, prepares by performing precomputations before the competition begins. There are n points numbered from 1 to n. At each point iii, a ninja can jump exactly A[i] steps forward. Find the minimum number of moves Hattori needs to reach the endpoint starting from point 1.",,Array,Dynamic programming
Letter Tile possibilities,Marco is fond of stickers. He has a lot of stickers on which alphabets in uppercase are printed.He is curious about how many different types of non-empty unique strings or words he can form by using the stickers.,Recursion,Strings,Bachtracking
Petrol prices,"Startled by the recent instability in petrol prices, Harsh decided to find out the pattern to buy petrol when it is cheapest. To do so, he collected the data of petrol prices over the last N days. While decoding the pattern, he gets stuck and asks for your help.Given the petrol prices from day 1 to N, for each day, Harsh wants you to find out the minimum number of days after which the petrol price is strictly higher than the current day.If there is no future day for which this is possible, let the answer for that day be 0.","Sorting, Searching",Array,Binary search
Rahul and brackets,"Rahul has a string composed of parentheses, either '(' or ')'. The string is considered valid if all opening parentheses have matching closing parentheses in the correct order.Rahul can perform one move by inserting a parenthesis at any position in the string.For example, if the string S = ""()))"", Rahul can make it valid by inserting an opening parenthesis to get ""(()))"" or a closing parenthesis to get ""())))"".Let M be the minimum number of moves required to make the string S valid. Your task is to determine how many prime numbers are less than or equal to M.",Math,Strings,No specific algorithm
Ravi's illusion,"Ravi has recently learned about arrays and subarrays. He studied that there are multiple different subarrays possible in an array.His mom gave him a challenge to understand subarrays better by defining the ""illusion of the array"" as the sum of the minimum values of all possible subarrays of an array.Ravi needs your assistance to solve this problem. Given an array, compute the ""illusion of the array"".Since the result can be large, output the answer modulo 10^9+7.",Array,Stack,Sliding windows
Recent submissions,"Steve is participating in competitive coding. Whenever he makes a submission at time 't', any submission made exactly 5000 seconds before 't' is removed from the queue. Given N submissions, where each submission is associated with a distinct time 't', determine the maximum size of the submission queue at any point in time after all 'N submissions.",Hashing,"HashMap, queue, array",Binary search
Reena and fruits,"Reena has a basket containing an array of 2N fruits. She needs to pair these fruits into N pairs, (a1, b1) , (a2, b2),.....,(an, bn), such that the sum of the minimum values in each pair, min(ai, bi) for all i is maximized. Your task is to calculate and print this maximum possible sum.",Sorting,Array,Greedy
Chain of boxes,"Imagine a row of linked boxes, like a chain of nodes in a linked list with length N, with Shyaam holding the first box. Each box is represented by a number Ai (0 <= i < N). The challenge Ram presents is to rearrange the order of these linked boxes in reverse, making the last box the new first one. Can you help Shyaam conquer this task?",Recursion,"Stack, Linked list",No specific algorithm
Skydiving,"John Wick, our favorite character, wants to learn skydiving. Before attempting the real thing, he plans to practice by jumping off floors in his apartment building. The building has n floors, and he has k parachutes. When John throws a parachute from a certain floor, there are two possible outcomes: either the parachute fails, or he successfully lands.Your task is to determine the minimum number of attempts John needs to make in order to successfully land on a floor while using the fewest possible parachutes.",Recursion,Mathematics,Dynamic programming
String partition,"Given a String ‘S’ your task is to partition the given string so that each letter appears in at most one part. You can do as many partitions as possible. The partition is done so that after concatenating all the parts in order, the resultant string should be ‘S’.Now print the size of each partition order-wise of partitioning.",Strings,Hash table,No specific algorithm
Swapping linked list node,"Ram gave Shyaam a challenge, he gave shyaam the head of a linked list, and an integer k.He asked Shyaam to swap the values of the Kth node from the beginning and the Kth node from the end (the list is 1-indexed).",Iterations,Linked list,No specific algorithm
treasure in a mystery box,"As you set out on an adventure to explore a mysterious box, containing n enchanted compartments to lead you to a treasure, you encounter a peculiar challenge. At each move, you can choose to advance by opening 1 or 2 compartments.Your mission is to decipher the total count of distinct ways to reach the nth compartment of this enigmatic box.",Recursion,Array,"Sliding windows, Dynamic programming"
Water conservation,"You are given an array representing the heights of iron bars in a building, where each bar has a width of 1 unit. After a heavy rain, water accumulates between the bars. Your task is to write a program to calculate the maximum amount of water that can accumulate between the bars. Consider the array elements as the heights of the bars and determine the total units of water that can be trapped between them.",Stack,Monotonic stack,Dynamic programming
Power sets,"You are given an integer array nums of unique elements, return all possible power sets. (All subsets).The solution set must not contain duplicate subsets. Print the subsets in a specific order, starting with the largest indexed element and proceeding with combinations that include the largest indexed elements first and then the second largest indexed element, and so on.","Recursion, sorting",Mathematics (subsets),Backtracking
Alien toys,"On a far-off planet, a baby alien has n blocks to play with. Each block has a lowercase English alphabet written on it. He arranged the blocks in a line and created a string s. The baby’s name is another string p of length m.The baby can pick m consecutive blocks from his string of blocks and rearrange them to form his name. Now, he wants to find out all such groups of m consecutive boxes that can be rearranged to form his name.",Hashing,Hash table,Sliding window
Coronavirus spread,"There is a town in the form of a 2-D Matrix. In each grid of the matrix, there will be one person or no person. But some person is infected with the coronavirus, and they will infect another person who is adjacent to them in 1 minutes of time. Now your task is to find the minimum time required so that all the person become infected. If it is impossible to infect every person then simply return -1.",Matrix,Tree,"DFS, BFS"
Counting smaller,"Mocha is given yet another task. In the task, mocha is provided with a sequence of n numbers.In the sequence for every number, we have to find the count of elements that are strictly smaller than it and generate a sequence from it.Your task is to help mocha in building the sequence.","Counting, sorting",Array,Prefix sum
Decode enigma,"You own an enigma machine that can interpret a string command. The command consists of strings: ""S"", ""[]"" and/or ""[sps]"" in some order. The enigma will interpret: ""S"" as the string ""send"" ""[]"" as the string ""the"" ""[sps]"" as the string “ships"".You are assigned with the task of parsing this information and getting to know teh masterplan of the allies and take advantage in the war. Each word is separated by a space . Given the string command, return the enigma’s interpretation of the command.","Recursion, strings","Array, stack",Greedy
Delete leaf node,"Ram gave Shyaam a binary tree root and an integer target, he asked Shyaam to delete all the leaf nodes with value target.Note that once you delete a leaf node with value target, if its parent node becomes a leaf node and has the value target, it should also be deleted (you need to continue doing that until you cannot).",Tree traversal,Binary Tree,DFS
House robbers,"Ram has found himself a new place for his thievery again. There is only one entrance to this area, called root. Besides the root, each house has one and only one parent house. After a tour, the smart thief realized that all houses in this place form a binary tree. It will automatically contact the police if two directly-linked houses were broken into on the same night. Given the root of the binary tree, return the maximum amount of money Ram can rob without alerting the police.",Tree traversal,Binary tree,Dynamic programming
Lewis strings,"Lewis, a computer teacher, is preparing a problem for his students. He has a string S containing English letters and parentheses.The task is to reverse the substrings within each pair of matching parentheses, starting from the innermost pair and working outward.Help Lewis by producing the final reversed string without any parentheses.",Strings,Stack,No specific algorithm
List of toys,"A toy manufacturing factory produced N toys on a day. The manager has a list of product IDs and another list containing the sizes of the corresponding toys, each of length N. In other words, the i-th integer in the product IDs list represents the product ID of the i-th toy, and the i-th integer in the sizes list represents the size of the i-th toy. However, the manager accidentally combined these lists by placing the product IDs list in front of the sizes list, resulting in a single list of 2N elements.You are an employee, and the manager wants you to recover the data and present it as another list of 2N elements such that the product ID of each toy is followed by its size.",Array,Linked list,No specific algorithm
Maximum balanced strings,"Balanced strings are those that have an equal quantity of 'L' and 'R' characters. Given a balanced string S, split it in the maximum amount of balanced strings and encapsulate them in ‘(’ and ‘)’. For example RRLL is balanced so you have to return “(RRLL)”.Return the string such that maximum amount of balanced encapsulated strings are there.","Strings, counting",Mathematics,Greedy
Muckers,"In the game of Muckers, players throw rings at rods for points. George visits a stall at a city fair where he can win a prize if he successfully places rings of all three colors—red, green, and blue—on a rod.You need to determine how many rods contain all three colors of rings after all rings have been placed. The input consists of a string S of length 2N, where every two characters represent a color-position pair:The first character indicates the ring's color ('r' for red, 'g' for green, 'b' for blue).The second character indicates the rod number (from '0' to '9') where the ring is placed.",Strings,"HashMap, array",Mathematics
Pack the socks,You are a shopkeeper and bought N pairs of socks of several colours in bulk. The colour of each pair of socks is represented as a non-negative integer. The socks are sold as sets of 3 each. A set of socks consists of 3 socks of the same colour.You want to find the number of different sets that can be made from the N pairs of socks you bought today.,Combinatorics,Hash table,Greedy
Push and pop,"Ankit is given an empty array target and an integer N.He needs to construct the target array by reading numbers sequentially from the list [1, 2, 3, ..., N].To build the target array, he can perform the following operations:""Push"": Reads the next element from the list and adds it to the array.""Pop"": Removes the last element added to the array.He can only ""Pop"" the most recently ""Pushed"" element. If the target array is complete, he stops reading more elements. It is guaranteed that such a sequence of operations always exists.Your task is to help Ankit determine the list of operations needed to build the target array.","Stimulations, strings","Array, stack",No specific algorithm
BST puzzle,"Ashish was learning about the Binary Search Trees, which are special types of trees that satisfy these constraints :The left subtree of a node contains only nodes with keys less than the node's key.The right subtree of a node contains only nodes with keys greater than the node's key.Both the left and right subtrees must also be binary search trees.His friend, Sarthak, saw him and thought of challenging him. He defined a transition as replacing each node of the tree with the original node plus the sum of all tree nodes greater than the original node in the tree. Given a level order of Binary Search Tree of N integers in the input where -1 represents the null node, print the sum of all nodes after the transition of the Binary Search Tree. Since the answer can be too large, output it modulo (109 + 7).",Arithmetics,Binary search tree,No specific algorithm
Print string after appying operations,"Alex and Bob got one problem from their friend But after hours of Trying, they got frustrated. Now they hire you as a freelancer to solve this problem. The problem states that you are given a string s of even length consisting of digits from 0 to 9, and two integers a and b.You can apply either of the following two operations any number of times and in any order on s:Add a to all odd indices of s (0-indexed). Digits post 9 are cycled back to 0. For example, if s = ""3456"" and a = 5, s becomes ""3951"".Rotate s to the right by b positions. For example, if s = ""3456"" and b = 1, s becomes ""6345"".Print the lexicographically smallest string you can obtain by applying the above operations any number of times on s.A string a is lexicographically smaller than a string b (of the same length) if in the first position where a and b differ, string a has a letter that appears earlier in the alphabet than the corresponding letter in b. For example, ""0158"" is lexicographically smaller than ""0190"" because the first position they differ is at the third letter, and '5' comes before '9'.",Lexicographical order,No specific data structure,Greedy algorithm
Full marks for solving!,"During the class on data structure and algorithms, the Professor gave students a string-based problem to solve and bet if anyone solve the problem will get full marks for endsem. Problem states that we are given two strings S and T, find the number of ways you can choose a non-empty substring of S and replace a single character with a different character such that the resulting substring is a substring of T. In other words, find the number of substrings in S that differ from some substring in T by exactly one character.For example, the underlined substrings in ""computer"" and ""computation"" only differ by the 'e'/'a', so this is a valid way.We have to print the number of substrings that satisfy the condition above.A substring is a contiguous sequence of characters within a string.",Strings,Hashing,"Dynamic programming, sliding window"
Basketball game,"In a peculiar basketball game, where World Cup is happening, Aniket is tasked with keeping the scores of the match. The game unfolds in rounds, and with each rounds there is a system like the matches played previously will be highlighted in future scores too i.e where the scores of previous rounds can influence those in the future.Aniket starts each game with an null record.He is provided with a list of operations, represented by strings, denoted as 'ops'.Each operation, 'ops[i]', can be one of the following:An integer 'x', indicating the recording of a new score 'x'. A '+', which means recording a score that is the sum of the previous two scores (it is ensured that there are always at least two previous scores available). A 'D', signifying recording a score that is double the previous score (it is ensured that there is always a previous score available). A 'C', indicating the invalidation of the previous score, removing it from the record (it is ensured that there is always a previous score to remove).Aniket's task is to process these operations and calculate the sum of all the scores and keep record of it for the final judgement.",Array,Stack,No specific algorithm
Sort on given index,"A matrix diagonal is a diagonal line of cells starting from some cell in either the topmost row or leftmost column and going in the bottom-right direction until reaching the matrix's end.For example, the matrix diagonal starting from mat[2][0], where mat is a 6 x 3 matrix, includes cells mat[2][0], mat[3][1], and mat[4][2].Given an m x n matrix mat of integers, sort each matrix diagonal in ascending order and return the resulting matrix.",Sorting,"Heap (Priority queue), array",No specific algorithm
Find the center,"Once upon a time in a distant land, Saurav and Vikas set out to explore a star-shaped graph. This unique graph had 'n' nodes, with one special node known as the center, connected to all other nodes through 'n - 1' edges.They were given a scroll called 'edges' revealing connections between nodes as 'edges[i] = [ui, vi]'.Vikas, Aimed to identify the center node hidden within this magical graph. Their quest was to unveil this mystery and find the label of the elusive center node, where all paths converged.",Ordered set,"HashMap, Graph",No specific algorithm
Convert binary number linke list to decimal,"Certainly! In the digital realm of futuristic cities, Shyam found himself faced with a peculiar challenge. In this city of advanced technologies, information was stored in the form of linked lists, where each node had a unique value of either 0 or 1. These linked lists represented intricate binary notations of various numerical data.Shyam, the brilliant mathematician, was given a special task. He was handed a futuristic, singly-linked list where the nodes' binary values formed a complex pattern. This linked list, akin to a mysterious code, held the key to deciphering an essential piece of information. Shyam's mission was to convert this binary representation into its corresponding decimal value, a task that required his exceptional analytical skills.Guided by your expertise, help Shyam get the decimal value.",Array,Singly linked list,Bit manipulation
Number happy or not?,"In the enchanted kingdom of puzzles and riddles, Princess Elara has entrusted her loyal companion, Prince Liam, with a magical challenge. Legend has it that within the kingdom exists a mystical set of numbers known as ""Enchanted Numbers."" These special numbers possess a unique property – they can be transformed using a secret formula.Prince Liam's mission is to craft an algorithm that can distinguish these Enchanted Numbers from the ordinary ones. The magical process begins with any positive integer. Following a specific incantation, the number is replaced repeatedly with the sum of the squares of its digits. This enchanting ritual continues until the number either transforms into the revered number 1, becoming an Enchanted Number, or falls into a mysterious cycle, excluding the crave 1.With the princess's trust in his abilities and the support of his loyal advisors (that's you!). Your invaluable guidance and wisdom are the beacon that illuminates his path, helping him unravel the secrets of these Enchanted Numbers. Together, you and Prince Liam venture into the realm of numbers and magic, where friendship and teamwork are the keys to unlocking the kingdom's most mysterious numerical secrets.",Recursion,Hash table,Two pointers
Special Binary tree using string,"1. You are given a special string S that represents a preorder traversal of a binary tree. 2. At each node in this traversal, there are D dashes (where D is the depth of this node), followed by the value of this node. 3. If the depth of a node is D, the depth of its immediate child is D+1. The depth of the root node is 0. If a node has only one child, that child is guaranteed to be the left child. 4. You have to construct the special binary tree from this string and print the level order serialization.",Tree traversal,Binary tree,No specific algorithm
Parentheses depth,"Dhruv needs help in determining the maximum nesting depth of a given valid parentheses string (VPS) S. A valid parentheses string is defined according to the following rules:The VPS """" has a nesting depth of 0.The VPS ""()"" has a nesting depth of 1.The VPS ""()()"" has a nesting depth of 1.The VPS ""(())"" has a nesting depth of 2.Dhruv is looking for a program that, given a valid parentheses string S, computes the maximum nesting depth.",Strings,Stack,No specific algorithm
Make string special,"In a magical land, there were two types of creatures, represented by 0's and 1's. The land was divided into sections, each with an equal number of 0's and 1's. The wise wizard, Shyam, was entrusted with the task of arranging these creatures in a way that every part of the land had at least as many 1's as 0's.To accomplish this, Shyam was given a unique set of rules. He could perform a series of moves, each involving exchanging two neighboring groups of creatures. Two groups were considered neighboring if the last creature of the first group was right before the first creature of the second group.Shyam's goal was to create harmony in the land, ensuring that every prefix of the arrangement followed the rule of having at least as many 1's as 0's. His mission was to form the lexicographically largest arrangement possible through these operations.Now, Shyam, armed with his magical abilities, embarked on this noble quest to bring balance and order to the magical land of creatures. How should he arrange the creatures to achieve the desired harmony?","Recursion, strings",No specific data structure,Bubble sort
Minimum moves to seat,"Pavel is given a room with N seats and N students.Each seat's position is represented by the array seats of length N, where seats[i] indicates the position of the ith seat.Similarly, the positions of the students are given in an array students of length N, where students[j] represents the position of the jth student.Pavel is allowed to move each student by one position to the left or right any number of time. The goal is to find the minimum number of moves required to shift the students to seats in such a way that no two students are seated together.",Sorting,Array,No specific algorithm
Matrix range sum queries,"You are given a matrix of integers and there will be Q queries. You have to write a class NumMatrix and the function sumRegion.An object of the class NumMatrix will be created and some queries will be made. sumRegion finds the sum of the elements inside the rectangle defined by its upper left corner (row1, col1) and lower right corner (row2, col2).",Matrix,Array,Prefix sum
Weighted prefix search,"Implement the Data structure class with a constructor:In this data structure, you can insert key-value pairs. If the key already exists, then the value will be overridden.The user will give sum queries of the sum over a prefix string which should return the sum of all the pairs' values whose key starts with the prefix.","String, Hashing","Trie, Hash Table, HashMap",No specific algorithm
BST removal,Shyam loves Binary Search Trees (BSTs). He has been given a BST and an integer key. His task is to locate the node with the specified key value and delete it from the BST while preserving its properties.A Binary Search Tree (BST) is characterized by the following properties:The left subtree of a node contains only nodes with keys less than the node's key.The right subtree of a node contains only nodes with keys greater than the node's key.Both the left and right subtrees must also be BSTs.,Tree traversal,Binary search tree,No specific algorithm
Robot with instructions,"There is an n x n grid, with a Robot named Dare, whose start and the end position is given as an integer array Pos where Pos = [Posrow, Poscol].You are also given string Instructions of length m where s[i] is the ith instruction for the robot: 'L' (move left), 'R' (move right), 'U' (move up), and 'D' (move down).The robot can begin executing from any ith instruction in s. It executes the instructions one by one towards the end of s but it stops if either of these conditions is met:The next instruction will move the robot off the grid. There are no more instructions left to execute.Print an array answer of length m where answer[i] is the number of instructions the robot can execute if the robot begins executing from the ith instruction in s.",String manipulation,Array,No specific algorithm
Robot lap,"In a magical land, there is a young explorer named Raju who embarks on a thrilling adventure with his enchanted vehicle. This magical vehicle can only move in four directions: right (R), left (L), up (U), and down (D). Raju starts his journey at the heart of the mystical forest, located at coordinates (0, 0).As Raju follows a sequence of mysterious symbols etched on ancient stones, he maneuvers his magical vehicle accordingly. 'R' guides him to the right, 'L' to the left, 'U' upwards, and 'D' downwards. The direction he faces does not matter; the symbols' magic ensures his vehicle moves in the intended direction.Your mission is to help Raju determine whether he will return to the enchanted forest's center (0,0) after completing all his moves. If he successfully navigates back to the starting point, the forest's magic will protect him, and he will be able to continue his adventure. If not, he might be lost in the mystical realm forever.Can you assist Raju in deciphering his fate? If he ends up back at the starting point, please say YES; otherwise, say NO.",Simulation (Geometry),No specific data structure,No specific algorithm
Vital binary tree,Given an integer array with no duplicates. A vital binary tree building on this array is defined as follows: a)The root is the maximum number in the array. b)The left subtree is the maximum tree constructed from the left part subarray divided by the maximum number. c)The right subtree is the maximum tree constructed from the right part subarray divided by the maximum number.You need to construct the required binary tree and print the level order serialization of this binary tree. (Where null children are denoted by null itself).NOTE-All integers in nums are unique.,Recursion,"Tree, Array",No specific algorithm
Find the intersection,"Ronak is starting to understand linked lists now, and is now looking at improving on some classical linked list problems. At this moment he is working on finding the intersection point of two linked lists. He has no idea how he can approach this problem, help him solve this problem.You are given two lists of closed intervals, firstList and secondList, where firstList[i] = [starti, endi] and secondList[j] = [startj, endj]. Each list of intervals is pairwise disjoint and in sorted order.Return the intersection of these two interval lists.A closed interval [A, B] (with A <= B) denotes the set of real numbers X with A <= X <= B.The intersection of two closed intervals is a set of real numbers that are either empty or represented as a closed interval. For example, the intersection of [1, 3] and [2, 4] is [2, 3].",Sorting,Array,No specific algorithm
Points inside a circle,"Vikas is starting to study math for his class 10 boards, because unfortunately everything went offline. He is currently studying circles and geometry. He is stuck on a particular problem, and needs your help. You are given an array points where points[i] = [xi, yi] is the coordinates of the ith point on a 2D plane. Multiple points can have the same coordinates.You are also given an array queries where queries[j] = [xj, yj, rj] describes a circle centered at (xj, yj) with a radius of rj.For each query queries[j], compute the number of points inside the jth circle. Points on the border of the circle are considered inside.Print an array answer, where answer[j] is the answer to the jth query.",Array,2D Array,Spatial partitioning
Share all chocolate,"Alice’s mom bought n bags of chocolates numbered from 1 to N. The ith bag (1 <= i<= N) has ai chocolates.Alice wants to share some of the chocolate bags with Bob such that both of them get an equal number of chocolates, but she is not able to divide them in such a way. Now, she wonders if it is even possible to do so.Help Alice find out if the bags can be divided between her and Bob such that both of them get an equal number of chocolates.Remember you cannot divide the chocolate inside the bags.",Subset sum,Array,Dynamic programming
Binary tree with binary nodes,You are given the root of a binary tree where every node's value is either a 0 or a 1.You need to delete some of the nodes of the binary tree such that there exists no subtree which does not have a node with value 1 in it.Note- N is the number of nodes in the tree and Node's value is either 0 or 1,Post-order traversal,Binary tree,No specific algorithm
Jimmy sorts the array,"Jimmy's passion for sorting faces a challenge from George.Given two sets of integers, the goal is to sort the first set in a way that preserves the order found in the second set. Elements absent in the second set should be sorted in ascending order at the end of the first set.Can you assist Jimmy in crafting the resulting array?",Array,HasMap,No specific algorithm
Sorted ZigZag,"Alice enjoys playing with binary trees and printing them in various formats.Currently, she has been given n numbers that she needs to sort. After sorting the numbers, she intends to arrange them in a zigzag tree fashion.Zigzag tree fashion entails converting the given vector into a tree structure and then printing it in a zigzag level order fashion.Your task is to assist her in printing the vector in this particular fashion.",Zigzag level order traversal,Binary tree,BFS
Spare balls,"You have N boxes numbered from 1 to N. Each box contains a certain number of balls. Additionally, you have M spare balls, and you can choose to put all of them into any one of the boxes.For each box, determine if adding all the spare balls to that box will make it the box with the largest number of balls. Note that multiple boxes can have the maximum number of balls.",Iterations,Array,No specific algorithm
Stack Validity,"Kritika is given two integer arrays pushed and popped of the same size n, where one is a permutation of the other.Your task is to determine if the array popped could have been the result of a sequence of pop operations on an initially empty stack, where elements are pushed onto the stack in the order given by the pushed array and can be poped to from a squence of pop operations. For example - On initially empty stack with pusher array = [1,2,3,4]. we can perform operations - push 1, push 2, push 3, pop 3, push 4, pop 4, pop 2, pop 1 the pop sequence will be [3, 4, 2, 1]. your task to match pop sequence with popped array. If this is possible, print “true”. Otherwise, print ""false"" and the print the count of prime numbers less than or equal to the minimum number of elements left in the stack.",Simulation,Stack,Simulation
Subarray sum equals K,Marco is very interested in numbers. His friend Shyam gives him an array of numbers and a target value and asks him the number of subarrays whose sum will be equal to the target value. Marco got confused and asked you to help him.,Subarrays,HashMap,Prefix sum
Subarray XOR,"Melisa likes the XOR operation very much. Recently, her teacher gave her a beautiful array A = [a1, a2, ..., an], where N is the size of the array, and asked her to find the XOR of all XOR values of all possible subarrays.Subarray XORs are the XOR values of all possible subarrays of the array A.Your task is to compute the XOR of all these subarray XOR values.",Subarrays,Array,No specific algorithm
Maximum Jumps,"You are given an array of integers arr and an integer d and you can perform the following operations in one step: You can jump from index i to index:i + x where: i + x < arr.length and 0 < x <= d. i - x where: i - x >= 0 and 0 < x <= d.In addition, you can only jump from index i to index j if arr[i] > arr[j] and arr[i] > arr[k] for all indices k between i and j (More formally min(i, j) < k < max(i, j)).You can choose any index of the array and start jumping. Print the maximum number of indices you can visit.",Memoization,Array,"DFS, Dynamic programming"
Make strings sorted by deleting columns,"You are given an array of n strings, all of the same length.We may choose any deletion indices, and we delete all the characters in those indices for each string.For example, if we have strs = [""abcdef"",""uvwxyz""] and deletion indices, then the final array after deletions is [""bef"", ""vyz""].Suppose we chose a set of deletion indices answer such that after deletions, the final array has every string (row) in lexicographic order. (i.e., (strs[0][0] <= strs[0][1] <= ... <= strs[0][strs[0].length - 1]), and (strs[1][0] <= strs[1][1] <= ... <= strs[1][strs[1].length - 1]), and so on).Return the minimum possible value of answer.length.",Strings,Array,Greedy deletion
Save the king,"Once upon a time, in the game of chess. There was an interesting situation. The king was the only piece alive and surrounded by the enemy queens. This game was being played between saurav and vikas. And saurav wanted to attack vikas's kings with as many queens as possible. But he is busy moving pawns and upgrading them to queens, so he wants your help in counting how many queens are currently attacking vikas's king.On an 8x8 chessboard, there can be multiple Black Queens and one White King.Given an array of integer coordinates queens that represent the positions of the Black Queens, and a pair of coordinates king that represent the position of the White King, return the coordinates of all the queens that can attack the King.",Simulation,2D Array,Directional search
Possible words,"Vikas saw saurav typing something on his phone and sending a message and deleting it, he wants to know what the message was. But he only remembers the numbers that saurav pressed while typing the keys and not the letters, vikas has a classical keypad phone as shown in an image below. He cannot find out what saurav typed and wants your help in determining all the possibilities of words that could've been typed using the keys on the keypad. Help him by implementing a code that can output all the possible words that could have been typed given the numbers that were pressed.Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in sorted order. A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.",Mapping,Array,Backtracking
Count the flips,"Saurav and Vikas are learning about the sorting algorithms, they are very intrigued by the classical sorting algorithms. Vikas wants to come up with his own sorting algorithm, so he has implemented the following concept and wants to know how many frlips will be needed to sort the given set of integers using this method. Help him find out the answer by writing a code that can give the minimum number of reversals that will be needed.Given an array of integers arr, sort the array by performing a series of flips.In one flip we do the following steps:Choose an integer k where 1 <= k <= arr.length.Reverse the sub-array arr[0...k-1] (0-indexed).",Flip sort,Array,Pancake sorting
Bolt and thunder game,"Bolt and Thunder take turns playing a game, with Bolt starting first.Initially, there are N stones in a pile. On each player's turn, that player makes a move consisting of removing any non-zero square number of stones in the pile.Also, if a player cannot make a move, he/she loses the game.Given a positive integer N, return true if and only if Bolt wins the game otherwise return false, assuming both players play optimally.",Array,DP Array,Dynamic programming
One valid path in a grid,"You are given an m x n grid. Each cell of the grid has a direction pointing to the next cell you should visit if you are currently in this cell. The direction in grid[i][j] can be: 1 which means go to the cell to the right. (i.e go from grid[i][j] to grid[i][j + 1]). 2 which means go to the cell to the left. (i.e go from grid[i][j] to grid[i][j - 1]). 3 which means go to the lower cell. (i.e go from grid[i][j] to grid[i + 1][j]). 4 which means go to the upper cell. (i.e go from grid[i][j] to grid[i - 1][j]). Notice that there could be some signs on the cells of the grid that point outside the grid.You will initially start at the upper left cell (0, 0). A valid path in the grid is a path that starts from the upper left cell (0, 0) and ends at the bottom-right cell (m - 1, n - 1) following the signs on the grid. The valid path does not have to be the shortest.You can modify the sign on a cell with cost = 1. You can modify the sign on a cell one time only.Return the minimum cost to make the grid have at least one valid path.",Minimum cost,2D Grid,"BFS, DFS"
Duplicate removal 2,"Pushpendra is an engineering student, who has been trying to solve a sequence and series problem. However he was sleeping when the online classes were taken and his younger sister was helping him take notes and has tried her best to take down everything. But due to the teacher repeating then numbers in the list repeatedly she has taken down some numbers multiple times. Now pushpendra wants to remove all the duplicates from his list in order to better understand the concept and not get confused any further.Given the head of a sorted linked list, delete all nodes that have duplicate numbers, leaving only distinct numbers from the original list. Return the linked list sorted as well.",Traversal,Linked list,Two pointers
Nesting Depth parentheses,"You are given a string seq of length n consisting only of the characters '(' and ')'. The string is a valid parentheses string (VPS) if it meets the following conditions: It is empty, or It can be written as AB (A concatenated with B), where A and B are VPS, or It can be written as (A), where A is a VPS. The nesting depth of a VPS is defined as follows: depth("""") = 0 depth(A + B) = max(depth(A), depth(B)) depth(""("" + A + "")"") = 1 + depth(A) For example: """", ()(), and ()(()) are VPS with depths 0, 1, and 2, respectively. )( and (() are not VPS.Your task is to split the given VPS seq into two distinct subsequences A and B such that Both A and B are valid parentheses strings.The maximum nesting depth of A and B is minimized.You need to return an array answer of length seq.length, where answer[i] = 0 if seq[i] is part of A, and answer[i] = 1 if seq[i] is part of B.",Balancing depth,Array,Greedy approach
Box ab pattern,"You are given a row of boxes. Each box can be either ""a"" or ""b"". To check if it's an 'ab' pattern, you need to make sure that all the ""a"" boxes, if they exist, come before any ""b"" boxes, if they exist. If this order is maintained, it's an ab pattern; otherwise, it's not. Display ""YES"" if it is maintained else ""NO"".",Pass check,Array,No specific algorithm
Repeating Box,"Kritika has a collection of 2*n boxes, with n unique labels. Among them, one box is repeated n times.How can Kritika identify and print the label of the repeated box?",Counting,HashMap / Frequency array,No specific algorithm
Answer queries,"You were learning the array data structure, till your friend challenged you with a problem. Given an array of queries of positive integers between 1 and k, you have to process all queries[i] according to the following rules: In the beginning, you have the permutation P=[1,2,3,...,m]. For the current i, find the position of queries[i] in the permutation P (indexing from 0) and then move this at the beginning of the permutation P. Notice that the position of queries[i] in the permutation P is the result for queries[i]. Print an array containing the result for the given queries.",Simulation,List / Deque,Simulation
Equivalent array of boxes,"In this coding scenario, you have two arrays of boxes, word1 and word2. The task is to determine if these boxes, when stacked in the same order, create identical structures.In other words, you should check if the elements in the two arrays, when concatenated in their respective orders, form the same string. If they do, the function should return true, indicating that the structures match; otherwise, it returns false, signifying a difference between the arrays.",String concatenation,Array,No specific algorithm
Distinctive car features,"Ram spots a line of N cars on the busy street, each with a unique feature. You're provided with an array called ""features,"" where features[i] represent a distinctive feature of the ith car. Ram's quest is to discover the widest separation between two cars with different features. Can you help Ram with his quest? Remember, this distance is determined by the absolute difference in their positions (abs(i - j)).",Max distance,Array,"Two pointers, linear scan"
Collecting the apples,"In a garden with numerous apple trees labeled from 0 to N - 1, arranged in a row from left to right, the garden owner needs to collect all the apples to sell in the market. He has a basket with a capacity 'C' to collect the apples. The process for collecting the apples is as follows: 1. Begin at the starting point, which is at x = -1. 2. Collect apples from each tree in sequential order, moving from left to right. 3. If the basket becomes full before reaching the next tree, return to the starting point (x = -1), deposit the apples collected so far, and then resume from this starting position to continue collecting apples.The task is to determine the number of steps the garden owner will take to collect the final apple.",Simulation,Array,Simulation
